ファイル名,ラベル名,ファイルのディレクトリパス,タイトル,資料のURL,当該画像のフルサイズのURL(IIIF Image API)
1017141_454_0.jpg,graphic_graph,graphic_graph\1017141_454_0.jpg,経済学全集,https://dl.ndl.go.jp/info:ndljp/pid/1017141,"https://www.dl.ndl.go.jp/api/iiif/1017141/R0000454/pct:15.0,20.1,28.5,66.7/full/0/default.jpg"
1017141_455_0.jpg,graphic_graph,graphic_graph\1017141_455_0.jpg,経済学全集,https://dl.ndl.go.jp/info:ndljp/pid/1017141,"https://www.dl.ndl.go.jp/api/iiif/1017141/R0000455/pct:50.6,27.2,27.2,60.3/full/0/default.jpg"
1032125_21_0.jpg,graphic_graph,graphic_graph\1032125_21_0.jpg,科目別逓試標準解答,https://dl.ndl.go.jp/info:ndljp/pid/1032125,"https://www.dl.ndl.go.jp/api/iiif/1032125/R0000021/pct:23.4,31.6,20.1,17.6/full/0/default.jpg"
1032432_28_0.jpg,graphic_graph,graphic_graph\1032432_28_0.jpg,新制理科物理篇 : 教授資料,https://dl.ndl.go.jp/info:ndljp/pid/1032432,"https://www.dl.ndl.go.jp/api/iiif/1032432/R0000028/pct:67.5,25.4,16.7,23.9/full/0/default.jpg"
1035292_51_1.jpg,graphic_graph,graphic_graph\1035292_51_1.jpg,学術研究報告,https://dl.ndl.go.jp/info:ndljp/pid/1035292,"https://www.dl.ndl.go.jp/api/iiif/1035292/R0000051/pct:18.7,16.0,27.7,22.5/full/0/default.jpg"
1035292_52_0.jpg,graphic_graph,graphic_graph\1035292_52_0.jpg,学術研究報告,https://dl.ndl.go.jp/info:ndljp/pid/1035292,"https://www.dl.ndl.go.jp/api/iiif/1035292/R0000052/pct:20.5,23.3,23.9,23.0/full/0/default.jpg"
1035292_66_0.jpg,graphic_graph,graphic_graph\1035292_66_0.jpg,学術研究報告,https://dl.ndl.go.jp/info:ndljp/pid/1035292,"https://www.dl.ndl.go.jp/api/iiif/1035292/R0000066/pct:0.5,32.4,70.0,37.4/full/0/default.jpg"
1043883_190_0.jpg,graphic_graph,graphic_graph\1043883_190_0.jpg,紀行満洲・台湾・海南島,https://dl.ndl.go.jp/info:ndljp/pid/1043883,"https://www.dl.ndl.go.jp/api/iiif/1043883/R0000190/pct:53.5,17.5,28.0,42.9/full/0/default.jpg"
1045787_143_1.jpg,graphic_graph,graphic_graph\1045787_143_1.jpg,財団法人小峰研究所紀要,https://dl.ndl.go.jp/info:ndljp/pid/1045787,"https://www.dl.ndl.go.jp/api/iiif/1045787/R0000143/pct:66.2,24.6,17.0,18.6/full/0/default.jpg"
1048041_49_2.jpg,graphic_graph,graphic_graph\1048041_49_2.jpg,新潟県水産試験場事業報告,https://dl.ndl.go.jp/info:ndljp/pid/1048041,"https://www.dl.ndl.go.jp/api/iiif/1048041/R0000049/pct:51.1,54.5,36.6,36.3/full/0/default.jpg"
1072492_12_1.jpg,graphic_graph,graphic_graph\1072492_12_1.jpg,家事年鑑,https://dl.ndl.go.jp/info:ndljp/pid/1072492,"https://www.dl.ndl.go.jp/api/iiif/1072492/R0000012/pct:17.3,27.0,26.0,45.1/full/0/default.jpg"
1076415_41_2.jpg,graphic_graph,graphic_graph\1076415_41_2.jpg,学級協同社会の新教育 : ゲマインシャフトの新興教育,https://dl.ndl.go.jp/info:ndljp/pid/1076415,"https://www.dl.ndl.go.jp/api/iiif/1076415/R0000041/pct:18.6,51.0,26.1,16.4/full/0/default.jpg"
1078133_130_0.jpg,graphic_graph,graphic_graph\1078133_130_0.jpg,朝鮮総督府殖産局燃料選鉱研究所石炭試験報告,https://dl.ndl.go.jp/info:ndljp/pid/1078133,"https://www.dl.ndl.go.jp/api/iiif/1078133/R0000130/pct:12.5,7.3,66.7,83.4/full/0/default.jpg"
1078133_89_0.jpg,graphic_graph,graphic_graph\1078133_89_0.jpg,朝鮮総督府殖産局燃料選鉱研究所石炭試験報告,https://dl.ndl.go.jp/info:ndljp/pid/1078133,"https://www.dl.ndl.go.jp/api/iiif/1078133/R0000089/pct:33.4,33.4,15.3,16.4/full/0/default.jpg"
1081037_106_0.jpg,graphic_graph,graphic_graph\1081037_106_0.jpg,釀造試驗所報告,https://dl.ndl.go.jp/info:ndljp/pid/1081037,"https://www.dl.ndl.go.jp/api/iiif/1081037/R0000106/pct:53.8,18.4,34.1,40.0/full/0/default.jpg"
1081608_2_2.jpg,graphic_graph,graphic_graph\1081608_2_2.jpg,氣象年報,https://dl.ndl.go.jp/info:ndljp/pid/1081608,"https://www.dl.ndl.go.jp/api/iiif/1081608/R0000002/pct:56.5,44.5,21.5,32.5/full/0/default.jpg"
